candidate_id,candidate_source_name,candidate_family,required_observable_fields,eligibility_checks,physical_checks,validation_formula,validation_threshold,information_formula,information_threshold,family_specific_rule,relation_to_base_candidate,missing_field_behavior,admission_outcome,priority_position,tie_keys,fallback_eligibility,source_file,source_line_or_function,source_SHA
M0,M0_static_position,static,numerical_success; physical_plausible; quality_pass; severe_risk_veto; raw/trimmed/inlier validation RMSE; condition_number; model_dof,required booleans and base-family exclusions,base physical_plausible; severe_risk_veto=false,score=0.45 trimmed+0.35 inlier+0.20 raw; relative gains as registered,dynamic 0.02 synthetic; 0.05 real; other family thresholds in family-specific rule,retention ratios supplied by candidate output,none,static family; selected when dynamic gate fails; M1 competes with M0 by near-tie rules,none,mandatory booleans default false; score and tie defaults follow publication JSON,"normal admission, family exclusion, diagnostic-only use, or low_quality fallback","primary score, condition, dof, source-name lexicographic; near tie uses covariance, bootstrap, condition, dof, name",covariance; bootstrap spread; condition; dof; source-name lexical,"yes, because complete-group fallback ranks all nonempty records",ma_bgtr_v71_solver.py; family_evidence.py; hierarchical_gates.py; bias_gate_fix.py; robust_gates.py,select_group_v71; best_candidate; _base_filter; _dynamic_gate; _refine_gate; evaluate_bias_gate_v71; evaluate_robust_gate_v71,5ee90f34f0bd78c07568b6f089349415d62fb3157532d6760e0ef33ef0d26eac;5e54aabb114abf8ba21e51db54ceaeda31018182627a1e84e4bc13f947135f95;8d37cee65969f2e67ab2b4cbd01e843a3975df167203f12f8ef5f2b17e924b69;fd5d27da0d6fff919f3a0d71832795277930098755c9a6af06c83e847ceaddf9;8a71eb5a5a2568d3ada745c6d9f9b3981162470bcdffc2b1502ec4f9a65fe5c6
M1,M1_static_position_bias,static,numerical_success; physical_plausible; quality_pass; severe_risk_veto; raw/trimmed/inlier validation RMSE; condition_number; model_dof,required booleans and base-family exclusions,base physical_plausible; severe_risk_veto=false,score=0.45 trimmed+0.35 inlier+0.20 raw; relative gains as registered,dynamic 0.02 synthetic; 0.05 real; other family thresholds in family-specific rule,retention ratios supplied by candidate output,none,static family; selected when dynamic gate fails; M1 competes with M0 by near-tie rules,M0,mandatory booleans default false; score and tie defaults follow publication JSON,"normal admission, family exclusion, diagnostic-only use, or low_quality fallback","primary score, condition, dof, source-name lexicographic; near tie uses covariance, bootstrap, condition, dof, name",covariance; bootstrap spread; condition; dof; source-name lexical,"yes, because complete-group fallback ranks all nonempty records",ma_bgtr_v71_solver.py; family_evidence.py; hierarchical_gates.py; bias_gate_fix.py; robust_gates.py,select_group_v71; best_candidate; _base_filter; _dynamic_gate; _refine_gate; evaluate_bias_gate_v71; evaluate_robust_gate_v71,5ee90f34f0bd78c07568b6f089349415d62fb3157532d6760e0ef33ef0d26eac;5e54aabb114abf8ba21e51db54ceaeda31018182627a1e84e4bc13f947135f95;8d37cee65969f2e67ab2b4cbd01e843a3975df167203f12f8ef5f2b17e924b69;fd5d27da0d6fff919f3a0d71832795277930098755c9a6af06c83e847ceaddf9;8a71eb5a5a2568d3ada745c6d9f9b3981162470bcdffc2b1502ec4f9a65fe5c6
M2,M2_ctd_full,core_dynamic_full_drift,numerical_success; physical_plausible; quality_pass; severe_risk_veto; raw/trimmed/inlier validation RMSE; condition_number; model_dof,required booleans and base-family exclusions,base physical_plausible; severe_risk_veto=false,score=0.45 trimmed+0.35 inlier+0.20 raw; relative gains as registered,dynamic 0.02 synthetic; 0.05 real; other family thresholds in family-specific rule,retention ratios supplied by candidate output,none,core dynamic; requires dynamic gate; bias and drift family gates determine admitted subset,M0,mandatory booleans default false; score and tie defaults follow publication JSON,"normal admission, family exclusion, diagnostic-only use, or low_quality fallback","primary score, condition, dof, source-name lexicographic; near tie uses covariance, bootstrap, condition, dof, name",covariance; bootstrap spread; condition; dof; source-name lexical,"yes, because complete-group fallback ranks all nonempty records",ma_bgtr_v71_solver.py; family_evidence.py; hierarchical_gates.py; bias_gate_fix.py; robust_gates.py,select_group_v71; best_candidate; _base_filter; _dynamic_gate; _refine_gate; evaluate_bias_gate_v71; evaluate_robust_gate_v71,5ee90f34f0bd78c07568b6f089349415d62fb3157532d6760e0ef33ef0d26eac;5e54aabb114abf8ba21e51db54ceaeda31018182627a1e84e4bc13f947135f95;8d37cee65969f2e67ab2b4cbd01e843a3975df167203f12f8ef5f2b17e924b69;fd5d27da0d6fff919f3a0d71832795277930098755c9a6af06c83e847ceaddf9;8a71eb5a5a2568d3ada745c6d9f9b3981162470bcdffc2b1502ec4f9a65fe5c6
M3,M3_ctd_no_drift,core_dynamic_no_drift,numerical_success; physical_plausible; quality_pass; severe_risk_veto; raw/trimmed/inlier validation RMSE; condition_number; model_dof,required booleans and base-family exclusions,base physical_plausible; severe_risk_veto=false,score=0.45 trimmed+0.35 inlier+0.20 raw; relative gains as registered,dynamic 0.02 synthetic; 0.05 real; other family thresholds in family-specific rule,retention ratios supplied by candidate output,none,core dynamic; requires dynamic gate; bias and drift family gates determine admitted subset,M2,mandatory booleans default false; score and tie defaults follow publication JSON,"normal admission, family exclusion, diagnostic-only use, or low_quality fallback","primary score, condition, dof, source-name lexicographic; near tie uses covariance, bootstrap, condition, dof, name",covariance; bootstrap spread; condition; dof; source-name lexical,"yes, because complete-group fallback ranks all nonempty records",ma_bgtr_v71_solver.py; family_evidence.py; hierarchical_gates.py; bias_gate_fix.py; robust_gates.py,select_group_v71; best_candidate; _base_filter; _dynamic_gate; _refine_gate; evaluate_bias_gate_v71; evaluate_robust_gate_v71,5ee90f34f0bd78c07568b6f089349415d62fb3157532d6760e0ef33ef0d26eac;5e54aabb114abf8ba21e51db54ceaeda31018182627a1e84e4bc13f947135f95;8d37cee65969f2e67ab2b4cbd01e843a3975df167203f12f8ef5f2b17e924b69;fd5d27da0d6fff919f3a0d71832795277930098755c9a6af06c83e847ceaddf9;8a71eb5a5a2568d3ada745c6d9f9b3981162470bcdffc2b1502ec4f9a65fe5c6
M4,M4_ctd_no_bias,core_dynamic_no_bias,numerical_success; physical_plausible; quality_pass; severe_risk_veto; raw/trimmed/inlier validation RMSE; condition_number; model_dof,required booleans and base-family exclusions,base physical_plausible; severe_risk_veto=false,score=0.45 trimmed+0.35 inlier+0.20 raw; relative gains as registered,dynamic 0.02 synthetic; 0.05 real; other family thresholds in family-specific rule,retention ratios supplied by candidate output,none,core dynamic; requires dynamic gate; bias and drift family gates determine admitted subset,M2,mandatory booleans default false; score and tie defaults follow publication JSON,"normal admission, family exclusion, diagnostic-only use, or low_quality fallback","primary score, condition, dof, source-name lexicographic; near tie uses covariance, bootstrap, condition, dof, name",covariance; bootstrap spread; condition; dof; source-name lexical,"yes, because complete-group fallback ranks all nonempty records",ma_bgtr_v71_solver.py; family_evidence.py; hierarchical_gates.py; bias_gate_fix.py; robust_gates.py,select_group_v71; best_candidate; _base_filter; _dynamic_gate; _refine_gate; evaluate_bias_gate_v71; evaluate_robust_gate_v71,5ee90f34f0bd78c07568b6f089349415d62fb3157532d6760e0ef33ef0d26eac;5e54aabb114abf8ba21e51db54ceaeda31018182627a1e84e4bc13f947135f95;8d37cee65969f2e67ab2b4cbd01e843a3975df167203f12f8ef5f2b17e924b69;fd5d27da0d6fff919f3a0d71832795277930098755c9a6af06c83e847ceaddf9;8a71eb5a5a2568d3ada745c6d9f9b3981162470bcdffc2b1502ec4f9a65fe5c6
M5,M5_be_b0_only,projected_diagnostic,numerical_success; physical_plausible; quality_pass; severe_risk_veto; raw/trimmed/inlier validation RMSE; condition_number; model_dof,required booleans and base-family exclusions,base physical_plausible; severe_risk_veto=false,score=0.45 trimmed+0.35 inlier+0.20 raw; relative gains as registered,dynamic 0.02 synthetic; 0.05 real; other family thresholds in family-specific rule,retention ratios supplied by candidate output,none,diagnostic branch; excluded from core unless no core survives,M2,mandatory booleans default false; score and tie defaults follow publication JSON,"normal admission, family exclusion, diagnostic-only use, or low_quality fallback","primary score, condition, dof, source-name lexicographic; near tie uses covariance, bootstrap, condition, dof, name",covariance; bootstrap spread; condition; dof; source-name lexical,"yes, because complete-group fallback ranks all nonempty records",ma_bgtr_v71_solver.py; family_evidence.py; hierarchical_gates.py; bias_gate_fix.py; robust_gates.py,select_group_v71; best_candidate; _base_filter; _dynamic_gate; _refine_gate; evaluate_bias_gate_v71; evaluate_robust_gate_v71,5ee90f34f0bd78c07568b6f089349415d62fb3157532d6760e0ef33ef0d26eac;5e54aabb114abf8ba21e51db54ceaeda31018182627a1e84e4bc13f947135f95;8d37cee65969f2e67ab2b4cbd01e843a3975df167203f12f8ef5f2b17e924b69;fd5d27da0d6fff919f3a0d71832795277930098755c9a6af06c83e847ceaddf9;8a71eb5a5a2568d3ada745c6d9f9b3981162470bcdffc2b1502ec4f9a65fe5c6
M6,M6_be_full,projected_diagnostic,numerical_success; physical_plausible; quality_pass; severe_risk_veto; raw/trimmed/inlier validation RMSE; condition_number; model_dof,required booleans and base-family exclusions,base physical_plausible; severe_risk_veto=false,score=0.45 trimmed+0.35 inlier+0.20 raw; relative gains as registered,dynamic 0.02 synthetic; 0.05 real; other family thresholds in family-specific rule,retention ratios supplied by candidate output,finite retention_trace_ratio>=0.7 and finite rank_loss<=0,diagnostic branch; excluded from core unless no core survives,M2,mandatory booleans default false; score and tie defaults follow publication JSON,"normal admission, family exclusion, diagnostic-only use, or low_quality fallback","primary score, condition, dof, source-name lexicographic; near tie uses covariance, bootstrap, condition, dof, name",covariance; bootstrap spread; condition; dof; source-name lexical,"yes, because complete-group fallback ranks all nonempty records",ma_bgtr_v71_solver.py; family_evidence.py; hierarchical_gates.py; bias_gate_fix.py; robust_gates.py,select_group_v71; best_candidate; _base_filter; _dynamic_gate; _refine_gate; evaluate_bias_gate_v71; evaluate_robust_gate_v71,5ee90f34f0bd78c07568b6f089349415d62fb3157532d6760e0ef33ef0d26eac;5e54aabb114abf8ba21e51db54ceaeda31018182627a1e84e4bc13f947135f95;8d37cee65969f2e67ab2b4cbd01e843a3975df167203f12f8ef5f2b17e924b69;fd5d27da0d6fff919f3a0d71832795277930098755c9a6af06c83e847ceaddf9;8a71eb5a5a2568d3ada745c6d9f9b3981162470bcdffc2b1502ec4f9a65fe5c6
M7,M7_robust_ctd_full,robust_core_dynamic,numerical_success; physical_plausible; quality_pass; severe_risk_veto; raw/trimmed/inlier validation RMSE; condition_number; model_dof,required booleans and base-family exclusions,base physical_plausible; severe_risk_veto=false,score=0.45 trimmed+0.35 inlier+0.20 raw; relative gains as registered,dynamic 0.02 synthetic; 0.05 real; other family thresholds in family-specific rule,retention ratios supplied by candidate output,none; robust finite information_retention_ratio>=0.6,core dynamic plus robust gate: outlier evidence and >=3% trimmed/inlier gain or burst robust-cost gain; raw ratio<=1.03,M2,mandatory booleans default false; score and tie defaults follow publication JSON,"normal admission, family exclusion, diagnostic-only use, or low_quality fallback","primary score, condition, dof, source-name lexicographic; near tie uses covariance, bootstrap, condition, dof, name",covariance; bootstrap spread; condition; dof; source-name lexical,"yes, because complete-group fallback ranks all nonempty records",ma_bgtr_v71_solver.py; family_evidence.py; hierarchical_gates.py; bias_gate_fix.py; robust_gates.py,select_group_v71; best_candidate; _base_filter; _dynamic_gate; _refine_gate; evaluate_bias_gate_v71; evaluate_robust_gate_v71,5ee90f34f0bd78c07568b6f089349415d62fb3157532d6760e0ef33ef0d26eac;5e54aabb114abf8ba21e51db54ceaeda31018182627a1e84e4bc13f947135f95;8d37cee65969f2e67ab2b4cbd01e843a3975df167203f12f8ef5f2b17e924b69;fd5d27da0d6fff919f3a0d71832795277930098755c9a6af06c83e847ceaddf9;8a71eb5a5a2568d3ada745c6d9f9b3981162470bcdffc2b1502ec4f9a65fe5c6
M8,M8_robust_be_b0_only,robust_projected_diagnostic,numerical_success; physical_plausible; quality_pass; severe_risk_veto; raw/trimmed/inlier validation RMSE; condition_number; model_dof,required booleans and base-family exclusions,base physical_plausible; severe_risk_veto=false,score=0.45 trimmed+0.35 inlier+0.20 raw; relative gains as registered,dynamic 0.02 synthetic; 0.05 real; other family thresholds in family-specific rule,retention ratios supplied by candidate output,none; robust finite information_retention_ratio>=0.6,diagnostic branch; excluded from core unless no core survives,M5,mandatory booleans default false; score and tie defaults follow publication JSON,"normal admission, family exclusion, diagnostic-only use, or low_quality fallback","primary score, condition, dof, source-name lexicographic; near tie uses covariance, bootstrap, condition, dof, name",covariance; bootstrap spread; condition; dof; source-name lexical,"yes, because complete-group fallback ranks all nonempty records",ma_bgtr_v71_solver.py; family_evidence.py; hierarchical_gates.py; bias_gate_fix.py; robust_gates.py,select_group_v71; best_candidate; _base_filter; _dynamic_gate; _refine_gate; evaluate_bias_gate_v71; evaluate_robust_gate_v71,5ee90f34f0bd78c07568b6f089349415d62fb3157532d6760e0ef33ef0d26eac;5e54aabb114abf8ba21e51db54ceaeda31018182627a1e84e4bc13f947135f95;8d37cee65969f2e67ab2b4cbd01e843a3975df167203f12f8ef5f2b17e924b69;fd5d27da0d6fff919f3a0d71832795277930098755c9a6af06c83e847ceaddf9;8a71eb5a5a2568d3ada745c6d9f9b3981162470bcdffc2b1502ec4f9a65fe5c6
M9,M9_robust_be_full,robust_projected_diagnostic,numerical_success; physical_plausible; quality_pass; severe_risk_veto; raw/trimmed/inlier validation RMSE; condition_number; model_dof,required booleans and base-family exclusions,base physical_plausible; severe_risk_veto=false,score=0.45 trimmed+0.35 inlier+0.20 raw; relative gains as registered,dynamic 0.02 synthetic; 0.05 real; other family thresholds in family-specific rule,retention ratios supplied by candidate output,finite retention_trace_ratio>=0.7 and finite rank_loss<=0; robust finite information_retention_ratio>=0.6,diagnostic branch; excluded from core unless no core survives,M6,mandatory booleans default false; score and tie defaults follow publication JSON,"normal admission, family exclusion, diagnostic-only use, or low_quality fallback","primary score, condition, dof, source-name lexicographic; near tie uses covariance, bootstrap, condition, dof, name",covariance; bootstrap spread; condition; dof; source-name lexical,"yes, because complete-group fallback ranks all nonempty records",ma_bgtr_v71_solver.py; family_evidence.py; hierarchical_gates.py; bias_gate_fix.py; robust_gates.py,select_group_v71; best_candidate; _base_filter; _dynamic_gate; _refine_gate; evaluate_bias_gate_v71; evaluate_robust_gate_v71,5ee90f34f0bd78c07568b6f089349415d62fb3157532d6760e0ef33ef0d26eac;5e54aabb114abf8ba21e51db54ceaeda31018182627a1e84e4bc13f947135f95;8d37cee65969f2e67ab2b4cbd01e843a3975df167203f12f8ef5f2b17e924b69;fd5d27da0d6fff919f3a0d71832795277930098755c9a6af06c83e847ceaddf9;8a71eb5a5a2568d3ada745c6d9f9b3981162470bcdffc2b1502ec4f9a65fe5c6
